imagenet 0.001 LR
cuda:1
Namespace(data_dir='./data', log_dir='.', master_address='tcp://localhost:2222', rank=0, world_size=1, network='Resnet50', compress=None, method=None, ratio=0.5, threshold=0.001, qstates=0, momentum=0.0, extras='11', k_min0=0.01, k_max0=0.001, k_min1=0.01, k_max1=0.001, memory=0, gpu=1)
Downloading datasets
cuda:1
Warming up cudnn on random inputs on device cuda:1
Starting timer cuda:1
       epoch           lr   train_time   train_loss    train_acc    test_time    test_loss     test_acc   total_time
           1       0.4120      56.8607       5.6250       0.0054       4.9968       5.4834       0.0068      56.8607
           2       0.4120      55.8208       5.2917       0.0070       4.6739       5.2718       0.0088     112.6815
           3       0.4120      54.5768       5.2210       0.0112       4.6449       5.1222       0.0128     167.2583
           4       0.4120      55.0434       5.0281       0.0210       4.6876       4.8608       0.0319     222.3017
           5       0.4120      54.3572       4.7502       0.0427       4.7133       4.5614       0.0620     276.6589
           6       0.4120      54.2389       4.4931       0.0693       4.5636       4.3346       0.0906     330.8978
           7       0.4120      54.7634       4.2391       0.1016       4.7680       4.0770       0.1180     385.6611
           8       0.4120      54.8839       3.9743       0.1385       4.8073       4.0135       0.1491     440.5451
           9       0.4120      54.5149       3.7506       0.1723       4.6806       3.6510       0.1911     495.0600
          10       0.4120      55.0241       3.5650       0.2001       4.8481       3.5065       0.2131     550.0841
          11       0.4120      54.4049       3.4216       0.2267       4.9245       3.4685       0.2231     604.4890
          12       0.4120      54.6874       3.2807       0.2507       4.8962       3.3592       0.2415     659.1764
          13       0.4120      55.1929       3.1611       0.2707       4.8524       3.3978       0.2487     714.3693
          14       0.4120      54.5863       3.0511       0.2925       4.7409       3.1090       0.2860     768.9556
          15       0.4120      54.9113       2.9526       0.3077       4.6727       3.0264       0.3065     823.8669
          16       0.4120      54.7625       2.8631       0.3255       4.6371       2.9951       0.3096     878.6294
          17       0.4120      54.9626       2.7637       0.3440       4.6375       2.9101       0.3224     933.5920
          18       0.4120      54.4202       2.6823       0.3600       4.5326       2.9423       0.3281     988.0122
          19       0.4120      55.3815       2.6068       0.3747       4.6411       3.0528       0.3082    1043.3937
          20       0.4120      55.1682       2.5279       0.3886       4.6237       3.0184       0.3155    1098.5619
          21       0.4120      55.8094       2.4564       0.4045       4.7229       2.8884       0.3432    1154.3713
          22       0.4120      54.4328       2.3932       0.4161       4.6553       2.8555       0.3485    1208.8040
          23       0.4120      79.6980       2.3276       0.4288       4.7053       2.7697       0.3598    1288.5021
          24       0.4120     106.7104       2.2561       0.4437       4.6387       2.7800       0.3553    1395.2124
          25       0.4120     107.8771       2.1977       0.4553       4.6257       2.7466       0.3704    1503.0895
          26       0.4120     110.3675       2.1298       0.4688       4.5790       2.7863       0.3610    1613.4570
          27       0.4120     108.9627       2.0693       0.4818       4.6312       2.7874       0.3759    1722.4198
          28       0.4120     109.6214       2.0294       0.4887       4.6007       2.7710       0.3676    1832.0411
          29       0.4120     110.2368       1.9692       0.5007       4.6114       2.7642       0.3711    1942.2779
          30       0.4120     109.1455       1.9169       0.5130       4.5777       2.8840       0.3701    2051.4235
          31       0.4120     110.2603       1.8776       0.5221       4.5784       2.8993       0.3567    2161.6838
          32       0.4120     111.6123       1.8275       0.5321       4.5599       2.7000       0.3861    2273.2961
          33       0.4120     110.6974       1.7792       0.5408       4.7104       2.8168       0.3682    2383.9935
          34       0.4120     109.2695       1.7425       0.5482       4.6857       2.8656       0.3730    2493.2629
          35       0.4120     108.2217       1.7036       0.5594       4.6822       2.8496       0.3682    2601.4847
          36       0.4120     109.7070       1.6581       0.5689       4.6025       2.9155       0.3578    2711.1917
          37       0.4120     108.0076       1.6142       0.5769       4.6239       2.8776       0.3732    2819.1993
          38       0.4120     108.5544       1.5849       0.5844       4.6426       2.9545       0.3534    2927.7537
          39       0.4120     108.5429       1.5357       0.5965       4.4758       3.1180       0.3388    3036.2966
          40       0.4120     109.9601       1.5011       0.6040       4.6583       2.7810       0.3857    3146.2567
