imagenet 0.001 LR momentum 0.5
cuda:1
Namespace(data_dir='./data', log_dir='.', master_address='tcp://localhost:2224', rank=0, world_size=1, network='Resnet50', compress=None, method=None, ratio=0.5, threshold=0.001, qstates=0, momentum=0.0, extras='11', k_min0=0.01, k_max0=0.001, k_min1=0.01, k_max1=0.001, memory=0, gpu=1)
Downloading datasets
cuda:1
Warming up cudnn on random inputs on device cuda:1
Starting timer cuda:1
       epoch           lr   train_time   train_loss    train_acc    test_time    test_loss     test_acc   total_time
           1       0.4120     113.1749       5.6258       0.0080       6.3322       5.2129       0.0136     113.1749
           2       0.4120     107.4901       5.1410       0.0157       4.6976       5.0560       0.0190     220.6650
           3       0.4120     108.3484       4.9497       0.0248       4.6901       4.8003       0.0365     329.0134
           4       0.4120     105.9478       4.6685       0.0494       4.7580       4.5348       0.0560     434.9612
           5       0.4120     107.2786       4.4130       0.0761       4.6701       4.2024       0.1074     542.2398
           6       0.4120     107.6041       4.1222       0.1146       4.6589       3.9131       0.1419     649.8439
           7       0.4120     107.7159       3.8677       0.1525       4.6126       3.8002       0.1651     757.5598
           8       0.4120     108.5645       3.6523       0.1881       4.6573       3.8035       0.1794     866.1243
           9       0.4120     107.9089       3.4828       0.2142       4.5189       3.6948       0.1929     974.0332
          10       0.4120     107.3513       3.3426       0.2386       4.5971       3.3323       0.2336    1081.3845
          11       0.4120     108.2818       3.2192       0.2595       4.5679       3.2550       0.2573    1189.6663
          12       0.4120     107.5541       3.1126       0.2804       4.5464       3.2647       0.2622    1297.2204
          13       0.4120     110.0382       3.0041       0.3004       4.5902       3.1716       0.2663    1407.2585
          14       0.4120     108.0332       2.9204       0.3157       5.0609       3.0146       0.2998    1515.2918
          15       0.4120     107.7719       2.8295       0.3323       4.9419       2.9811       0.3089    1623.0637
          16       0.4120     108.7037       2.7477       0.3478       4.8011       2.9101       0.3201    1731.7674
          17       0.4120     106.8031       2.6756       0.3618       4.7540       2.9832       0.3072    1838.5704
          18       0.4120     105.6254       2.6104       0.3728       4.9386       2.8717       0.3338    1944.1958
          19       0.4120      53.4773       2.5595       0.3835       4.9627       3.0739       0.3043    1997.6732
          20       0.4120      59.8298       2.4970       0.3967       4.8284       3.0117       0.3138    2057.5030
          21       0.4120     105.9026       2.4529       0.4037       4.9471       2.9867       0.3140    2163.4055
          22       0.4120     107.7162       2.4005       0.4155       4.8797       2.8711       0.3378    2271.1217
          23       0.4120      93.2980       2.3655       0.4218       4.8681       2.8276       0.3441    2364.4197
          24       0.4120     105.2391       2.3028       0.4354       4.8947       2.7565       0.3624    2469.6588
          25       0.4120     107.1066       2.2577       0.4420       4.7368       2.8081       0.3541    2576.7654
          26       0.4120     106.6364       2.2165       0.4519       4.5385       2.8732       0.3456    2683.4018
          27       0.4120     107.4937       2.1730       0.4607       4.7349       2.7719       0.3548    2790.8955
          28       0.4120     109.9602       2.1349       0.4669       4.6809       2.7791       0.3627    2900.8557
          29       0.4120     107.5716       2.1081       0.4746       4.6586       2.8362       0.3564    3008.4273
          30       0.4120     110.5161       2.0654       0.4838       4.6475       2.8603       0.3478    3118.9434
          31       0.4120     107.8908       2.0330       0.4901       4.6961       2.7820       0.3638    3226.8343
          32       0.4120     107.0166       2.0044       0.4961       4.7361       2.8076       0.3680    3333.8509
          33       0.4120     108.2333       1.9705       0.5022       4.7337       2.8681       0.3517    3442.0842
          34       0.4120     108.8555       1.9465       0.5078       4.6996       2.6931       0.3802    3550.9397
          35       0.4120     109.3666       1.9222       0.5126       4.5890       2.7861       0.3660    3660.3062
          36       0.4120     109.4063       1.8951       0.5175       4.5618       2.7905       0.3706    3769.7125
          37       0.4120     107.9873       1.8654       0.5258       4.5639       3.0799       0.3355    3877.6998
          38       0.4120     109.8235       1.8477       0.5305       4.6469       3.0630       0.3381    3987.5233
          39       0.4120     108.4393       1.8191       0.5365       4.5524       2.8964       0.3477    4095.9626
          40       0.4120     109.7859       1.7926       0.5403       4.5936       2.6854       0.3924    4205.7484


normal
Starting timer cuda:1
       epoch           lr   train_time   train_loss    train_acc    test_time    test_loss     test_acc   total_time
           1       0.0800      53.1857       5.3968       0.0062       5.1983       6.4341       0.0060      53.1857
           2       0.1600      48.1128       5.4407       0.0126       4.8161       5.1292       0.0227     101.2985
           3       0.2400      48.1198       4.9651       0.0338       4.7055       4.7680       0.0517     149.4183
           4       0.3200      48.0655       4.5757       0.0670       4.6210       4.4140       0.0797     197.4837
           5       0.4000      48.5456       4.3024       0.0955       4.7002       4.1923       0.1143     246.0293
           6       0.3938      48.7105       4.0530       0.1293       4.6421       3.9126       0.1558     294.7398
           7       0.3877      48.2276       3.8104       0.1653       4.6397       3.7300       0.1805     342.9675
           8       0.3815      48.5384       3.6130       0.1945       4.7834       3.5996       0.2005     391.5059
           9       0.3754      48.1151       3.4514       0.2221       4.4572       3.5223       0.2170     439.6210
          10       0.3692      47.6412       3.2998       0.2488       4.4977       3.3683       0.2368     487.2622
          11       0.3631      47.8955       3.1666       0.2713       4.5537       3.3338       0.2453     535.1577
          12       0.3569      47.5984       3.0544       0.2910       4.6846       3.2751       0.2576     582.7561
          13       0.3508      48.1619       2.9213       0.3142       4.9208       3.2310       0.2636     630.9180
