bad : SGD(trainable_params(model), lr=0.0005, momentum=0.5, weight_decay=5e-4*batch_size)
normal rot 20:  33       0.2277      47.7800       0.6175       0.8347       4.4925       3.7998       0.3025    1594.1344
 very bad :opt = SGD(trainable_params(model), lr=0.01, weight_decay=5e-4*batch_size) 
test stuck on 35% opt = SGD(trainable_params(model), lr=0.001, weight_decay=5e-4*batch_size)

imagenet 0.001 LR momentum 0.5 weight_decay=5e-4*batch_size no erase
cuda:1
Namespace(data_dir='./data', log_dir='.', master_address='tcp://localhost:2222', rank=0, world_size=1, network='Resnet50', compress=None, method=None, ratio=0.5, threshold=0.001, qstates=0, momentum=0.0, extras='11', k_min0=0.01, k_max0=0.001, k_min1=0.01, k_max1=0.001, memory=0, gpu=1)
Downloading datasets
cuda:1
Warming up cudnn on random inputs on device cuda:1
Starting timer cuda:1
       epoch           lr   train_time   train_loss    train_acc    test_time    test_loss     test_acc   total_time
           1       0.5120      50.2957       5.7639       0.0070       4.9787       5.2575       0.0089      50.2957
           2       0.5120      47.3788       5.2040       0.0112       4.9487       5.1761       0.0148      97.6745
           3       0.5120      48.2832       5.1128       0.0157       4.8937       5.0862       0.0180     145.9578
           4       0.5120      47.8922       4.9706       0.0234       4.8523       4.8825       0.0321     193.8500
           5       0.5120      47.0900       4.7506       0.0408       4.6950       4.6337       0.0530     240.9400
           6       0.5120      48.3216       4.5066       0.0653       4.7672       4.3879       0.0815     289.2616
           7       0.5120      47.3242       4.2396       0.0993       4.7573       4.1701       0.1058     336.5858
           8       0.5120      47.1046       3.9919       0.1348       4.7062       4.0177       0.1293     383.6903
           9       0.5120      47.6639       3.7884       0.1635       4.7139       4.1496       0.1204     431.3542
          10       0.5120      48.2861       3.6177       0.1928       4.8376       3.8975       0.1547     479.6403
          11       0.5120      48.4099       3.4701       0.2158       4.7385       3.7416       0.1806     528.0502
          12       0.5120      47.6508       3.3386       0.2404       4.8049       3.5888       0.2004     575.7010
          13       0.5120      47.2518       3.2108       0.2641       4.7520       3.6122       0.2005     622.9529
          14       0.5120      47.7382       3.1078       0.2815       4.8623       3.4131       0.2308     670.6910
          15       0.5120      47.7921       3.0029       0.3000       4.7815       3.3244       0.2511     718.4831
