cuda:1
Namespace(data_dir='./data', log_dir='.', master_address='tcp://localhost:2222', rank=0, world_size=1, network='Resnet50', compress=None, method=None, ratio=0.5, threshold=0.001, qstates=0, momentum=0.0, extras='11', k_min0=0.01, k_max0=0.001, k_min1=0.01, k_max1=0.001, memory=0, gpu=1)
Downloading datasets
cuda:1
Warming up cudnn on random inputs on device cuda:1
Starting timer cuda:1
       epoch           lr   train_time   train_loss    train_acc    test_time    test_loss     test_acc   total_time
           1       0.0800      72.7909       5.4357       0.0066       4.8136       5.5660       0.0115      72.7909
           2       0.1600      71.3803       5.2226       0.0169       4.5458       4.9678       0.0309     144.1712
           3       0.2400      71.3750       4.8892       0.0368       4.5785       4.8276       0.0450     215.5462
           4       0.3200      71.9711       4.7160       0.0542       4.5607       4.6261       0.0591     287.5173
           5       0.4000      71.9903       4.5789       0.0685       4.6065       4.4473       0.0815     359.5076
           6       0.3976      71.8676       4.4533       0.0834       4.7715       4.2636       0.1041     431.3751
           7       0.3952      71.5196       4.3394       0.0990       4.6524       4.1550       0.1235     502.8948
           8       0.3927      71.4924       4.2388       0.1125       4.5625       4.0414       0.1257     574.3872
           9       0.3903      71.3267       4.1587       0.1240       4.5422       4.4856       0.0945     645.7139
          10       0.3879      71.4375       4.0702       0.1351       4.5557       3.7957       0.1646     717.1514
          11       0.3855      71.5714       4.0816       0.1352       4.5446       3.9898       0.1400     788.7228
          12       0.3830      71.7125       4.0386       0.1403       4.6815       4.0865       0.1285     860.4353
          13       0.3806      71.7033       3.9273       0.1565       4.6241       3.7118       0.1805     932.1386
          14       0.3782      71.0220       3.8584       0.1655       4.7430       3.9244       0.1583    1003.1606
          15       0.3758      72.0511       3.7980       0.1772       4.6680       3.6426       0.1915    1075.2117
          16       0.3733      72.0810       3.7423       0.1821       4.6695       3.5457       0.2070    1147.2927
          17       0.3709      71.4113       3.7008       0.1915       4.6142       3.6613       0.1876    1218.7040
          18       0.3685      71.3614       3.6593       0.1972       4.6183       3.4806       0.2240    1290.0654
          19       0.3661      71.5069       3.6232       0.2023       4.6601       3.5346       0.2082    1361.5724
          20       0.3636      71.1999       3.5772       0.2105       4.6949       3.5866       0.2059    1432.7722
          21       0.3612      71.6262       3.5446       0.2166       4.6361       3.4228       0.2327    1504.3985
          22       0.3588      71.1622       3.5030       0.2223       4.5170       3.3507       0.2525    1575.5607
          23       0.3564      71.4308       3.4845       0.2267       4.8357       3.5364       0.2176    1646.9915
          24       0.3539      71.8605       3.4477       0.2307       4.6241       3.3170       0.2427    1718.8520
          25       0.3515      71.8736       3.4137       0.2374       4.6179       3.3413       0.2485    1790.7256
          26       0.3491      71.6025       3.3858       0.2421       4.7452       3.3980       0.2385    1862.3281
          27       0.3467      71.3983       3.3559       0.2477       4.5994       3.2583       0.2619    1933.7264
          28       0.3442      71.4265       3.3235       0.2521       4.5948       3.2748       0.2619    2005.1529
          29       0.3418      71.4803       3.2914       0.2574       4.5712       3.2166       0.2686    2076.6331
          30       0.3394      71.2811       3.2650       0.2636       4.5430       3.4613       0.2367    2147.9142
          31       0.3370      71.3203       3.2391       0.2681       4.5652       3.1406       0.2837    2219.2345
          32       0.3345      71.5940       3.2130       0.2723       4.5886       3.5262       0.2338    2290.8285
          33       0.3321      71.8535       3.1845       0.2777       4.5861       3.3702       0.2562    2362.6820
          34       0.3297      71.4637       3.1586       0.2824       4.6334       3.2661       0.2671    2434.1457
          35       0.3273      71.7685       3.1352       0.2869       4.6138       3.1077       0.2887    2505.9142
          36       0.3248      71.3336       3.1174       0.2874       4.6043       3.4886       0.2353    2577.2478
          37       0.3224      71.2144       3.0896       0.2941       4.6849       3.4928       0.2389    2648.4622
          38       0.3200      71.4771       3.0686       0.2997       4.7503       3.1293       0.2869    2719.9393
          39       0.3176      71.5038       3.0497       0.3013       4.6259       3.3126       0.2596    2791.4431
          40       0.3152      71.6617       3.0353       0.3016       4.6432       3.1179       0.2905    2863.1047
          41       0.3127      71.3390       3.0135       0.3077       4.7492       3.7043       0.2171    2934.4437
          42       0.3103      71.1317       2.9974       0.3102       4.6089       3.1452       0.2821    3005.5754
          43       0.3079      71.6238       2.9742       0.3147       4.6915       3.1025       0.2951    3077.1992
          44       0.3055      71.0951       2.9623       0.3150       4.5902       3.0487       0.3051    3148.2943
          45       0.3030      72.2255       2.9395       0.3207       4.6318       3.2828       0.2749    3220.5198
          46       0.3006      71.4964       2.9267       0.3228       4.6420       3.1740       0.2873    3292.0162
          47       0.2982      71.3509       2.9043       0.3276       4.7750       2.9056       0.3283    3363.3671
          48       0.2958      71.4295       2.8909       0.3292       4.6403       3.0022       0.3201    3434.7966
          49       0.2933      71.0855       2.8739       0.3316       4.6936       3.2534       0.2793    3505.8821
