epoch	hours	top1Accuracy
1	0.00194788	34.88
2	0.00335003	51.54
3	0.00476137	54.70
4	0.00616447	72.70
5	0.00757016	68.09
6	0.00897925	75.88
7	0.01038710	71.46
8	0.01179849	82.99
9	0.01320281	81.78
10	0.01461240	86.01
11	0.01602427	86.21
12	0.01743533	86.65
13	0.01884847	86.11
14	0.02025662	87.48
15	0.02166596	87.43
16	0.02307295	86.57
17	0.02448228	87.55
18	0.02589080	88.43
19	0.02730322	89.56
20	0.02871513	88.83
21	0.03012591	90.43
22	0.03153747	82.31
23	0.03294771	87.68
24	0.03435888	89.61
25	0.03576916	88.17
26	0.03717434	90.28
27	0.03857564	90.67
28	0.03998277	90.62
29	0.04139447	91.34
30	0.04280278	91.38
31	0.04421487	90.20
32	0.04561800	91.10
33	0.04702523	89.04
34	0.04843451	91.84
35	0.04984575	92.21
36	0.05125489	92.83
37	0.05266289	92.31
38	0.05407459	93.05
39	0.05548126	92.18
40	0.05689315	93.14
41	0.05830002	93.55
42	0.05971127	93.67
43	0.06112196	93.79
44	0.06253254	93.96
45	0.06394517	93.74
46	0.06535449	94.02
47	0.06676515	94.15
48	0.06816959	94.33
49	0.06957786	94.38
50	0.07098557	94.41
